horizon,Persistence,RF,SeasonalNaive,RF_vs_Persistence_percent,RF_vs_SeasonalNaive_percent
1,55.25454545454545,58.095636363636366,115.09818181818181,5.141822968081619,-49.52514848982686
6,118.62545454545455,76.5421818181818,118.27636363636364,-35.47575255962235,-35.28531021336778
12,170.91636363636366,84.71934545454546,113.31999999999998,-50.432279477469045,-25.238840933157892
