timestamp,horizon,MAE,Mean_Error
2026-08-01 12:00:00+00:00,1,56.80360793650807,-20.261137301587315
2026-08-01 13:00:00+00:00,1,33.919509126984146,-18.65666547619037
2026-08-01 14:00:00+00:00,1,105.69150833333329,80.96965277777771
2026-08-01 15:00:00+00:00,1,42.14688769841272,16.718721825396766
2026-08-01 16:00:00+00:00,1,41.93908769841278,10.24102103174605
2026-08-01 17:00:00+00:00,1,30.760582142857096,-10.730514682539786
2026-08-01 17:00:00+00:00,6,60.95535912698415,20.484321825396773
2026-08-01 18:00:00+00:00,1,24.367649206349302,-15.59163253968261
2026-08-01 18:00:00+00:00,6,115.63819880952391,-46.76115992063501
2026-08-01 19:00:00+00:00,1,18.894422186147118,-14.057546861471803
2026-08-01 19:00:00+00:00,6,39.520160750360716,20.567144011543952
2026-08-01 20:00:00+00:00,1,41.7183277777777,-16.421053968253908
2026-08-01 20:00:00+00:00,6,70.66176706349205,-26.16039087301582
2026-08-01 21:00:00+00:00,1,44.727374963925044,-40.592566305916414
2026-08-01 21:00:00+00:00,6,73.567452020202,-73.567452020202
2026-08-01 22:00:00+00:00,1,49.25570158730157,-13.990298412698445
2026-08-01 22:00:00+00:00,6,73.87106468253964,-52.90477103174597
2026-08-01 23:00:00+00:00,1,62.72317619047617,11.753681746031708
2026-08-01 23:00:00+00:00,6,78.18406670274169,-20.537419083694083
2026-08-01 23:00:00+00:00,12,83.11817702020201,-15.64908575036078
2026-08-02 00:00:00+00:00,1,80.69702622655126,-64.85887456709958
2026-08-02 00:00:00+00:00,6,76.79015988455981,-76.79015988455981
2026-08-02 00:00:00+00:00,12,89.84150436507926,-89.84150436507926
2026-08-02 01:00:00+00:00,1,70.732327020202,-68.93219044011543
2026-08-02 01:00:00+00:00,6,91.22454963924963,-87.86452258297261
2026-08-02 01:00:00+00:00,12,82.47701630591628,-77.33736067821069
2026-08-02 02:00:00+00:00,1,35.62168686868692,-11.110850360750344
2026-08-02 02:00:00+00:00,6,35.33295036075041,-6.394597186147178
2026-08-02 02:00:00+00:00,12,35.455884126984174,-9.53047698412704
2026-08-02 03:00:00+00:00,1,47.69533297258296,-22.440363059163012
2026-08-02 03:00:00+00:00,6,32.95800043290042,-9.279309090909027
2026-08-02 03:00:00+00:00,12,54.76584884559882,-6.620777344877314
2026-08-02 04:00:00+00:00,1,22.848565476190497,-0.03604166666663673
2026-08-02 04:00:00+00:00,6,16.00773214285716,-8.5640059523809
2026-08-02 04:00:00+00:00,12,21.063756746031697,-16.144644047618964
2026-08-02 05:00:00+00:00,1,47.78559801587301,-17.28122896825392
2026-08-02 05:00:00+00:00,6,62.385134523809526,-28.10222023809522
2026-08-02 05:00:00+00:00,12,59.92864444444446,-29.71703253968252
2026-08-02 06:00:00+00:00,1,23.20347896825396,9.613571825396814
2026-08-02 06:00:00+00:00,6,23.700962301587253,5.790728968253973
2026-08-02 06:00:00+00:00,12,49.564374603174585,-20.218333333333305
2026-08-02 07:00:00+00:00,1,18.262332539682593,-13.225313492063453
2026-08-02 07:00:00+00:00,6,12.967184920634953,-0.5133452380952008
2026-08-02 07:00:00+00:00,12,37.74223849206351,-24.274242460317442
