model,horizon,MAE
RF,1,50.80673697428834
Persistence,1,55.25454545454545
SeasonalNaive,1,115.09818181818181
RF,6,66.04834200052474
SeasonalNaive,6,118.27636363636364
Persistence,6,118.62545454545455
RF,12,69.72890384428702
SeasonalNaive,12,113.31999999999998
Persistence,12,170.91636363636366
