horizon,MAE,RMSE,Mean_Error,Max_Absolute_Error
1,78.31254545454546,107.28358146858854,33.20127272727273,301.69000000000005
6,112.83054545454546,141.63038033108316,56.476727272727274,325.99
12,140.66636363636363,182.05921545674988,90.98527272727274,460.51
