horizon,Mean_MAE_Full,Mean_MAE_WithoutLag24,Mean_MAE_Change,Mean_MAE_Percent_Change
1,58.095636363636366,55.70301818181819,-2.3926181818181766,-3.920547234679902
6,76.5421818181818,71.74105454545455,-4.801127272727267,-6.55903492854416
12,84.71934545454546,75.97352727272728,-8.745818181818187,-10.193280623055108
