model,series,horizon,MAE,RMSE,sMAPE,n_predictions,variant
RF,GenTD26_aggregate,1,22.64888888888889,39.99818566592311,95.22728837849654,99,full
RF,GenTD26_aggregate,6,37.96363636363636,64.0669236900845,111.21960371062781,99,full
RF,GenTD26_aggregate,12,49.380202020202034,73.77612825982467,112.85119013685498,99,full
RF,GenTD26_aggregate,1,20.21757721697494,35.275708592221676,92.29524575916942,99,without_lag24
RF,GenTD26_aggregate,6,31.230162126313633,54.4587202651524,104.23758312296907,99,without_lag24
RF,GenTD26_aggregate,12,39.103785994869334,61.722872065134275,97.08588411830466,99,without_lag24
