model,endpoint,horizon,MAE,RMSE,sMAPE,n_predictions
RF_FullFeatures,/identity,1,30.590545454545452,37.71718262880388,11.951219485622092,55
RF_FullFeatures,/identity,6,37.731272727272724,46.25639607861618,14.655631810628433,55
RF_FullFeatures,/identity,12,39.72327272727273,47.985297445249735,15.382999717021164,55
RF_FullFeatures,/inventory,1,41.82363636363637,51.66634103905208,12.751914629210745,55
RF_FullFeatures,/inventory,6,54.555818181818175,69.77086142249043,16.37673690489182,55
RF_FullFeatures,/inventory,12,58.42872727272727,71.40405605998991,17.675181255691378,55
RF_FullFeatures,/orders,1,59.4970909090909,75.8109997056076,13.138289378343906,55
RF_FullFeatures,/orders,6,83.74927272727273,103.89116748703029,17.96049183871898,55
RF_FullFeatures,/orders,12,89.116,114.60102269891122,18.64556274916994,55
RF_FullFeatures,/payments,1,78.31254545454546,107.28358146858854,17.138383515178575,55
RF_FullFeatures,/payments,6,112.83054545454543,141.63038033108316,24.12833004736944,55
RF_FullFeatures,/payments,12,140.66636363636366,182.05921545674988,29.23739318503687,55
RF_FullFeatures,/search,1,80.25436363636364,113.16920768959599,12.740998869384775,55
RF_FullFeatures,/search,6,93.84399999999998,120.09550063481676,15.205260783645317,55
RF_FullFeatures,/search,12,95.66236363636364,124.76573681030456,15.893398762407482,55
RF_WithoutLag24,/identity,1,30.768727272727276,37.95241163735065,11.973711231979664,55
RF_WithoutLag24,/identity,6,35.20672727272728,43.57243555276661,13.664554165715877,55
RF_WithoutLag24,/identity,12,34.390181818181816,42.3005307080398,13.358299423436746,55
RF_WithoutLag24,/inventory,1,39.016363636363636,48.83795453984906,11.930140341332345,55
RF_WithoutLag24,/inventory,6,51.25963636363636,66.05319412825888,15.56022774408284,55
RF_WithoutLag24,/inventory,12,59.08345454545455,70.97515056822225,17.726027319145526,55
RF_WithoutLag24,/orders,1,55.39781818181818,70.95475267572094,12.364964899988223,55
RF_WithoutLag24,/orders,6,73.57418181818181,92.63485629070733,16.12156733585341,55
RF_WithoutLag24,/orders,12,73.94054545454544,93.8438869322102,16.384815444105975,55
RF_WithoutLag24,/payments,1,76.35436363636364,104.45684334603541,16.56661284597563,55
RF_WithoutLag24,/payments,6,109.36036363636362,136.223366130778,23.245686530513957,55
RF_WithoutLag24,/payments,12,130.72327272727273,167.19083091431236,27.031659896113762,55
RF_WithoutLag24,/search,1,76.9778181818182,110.54450205480802,12.08266163241122,55
RF_WithoutLag24,/search,6,89.30436363636363,118.213808868815,14.277832342027583,55
RF_WithoutLag24,/search,12,81.73018181818182,107.36069111347801,13.792348713212352,55
