endpoint,horizon,MAE_RF_FullFeatures,MAE_RF_WithoutLag24,RMSE_RF_FullFeatures,RMSE_RF_WithoutLag24,sMAPE_RF_FullFeatures,sMAPE_RF_WithoutLag24,MAE_change_without_lag24,MAE_percent_change_without_lag24
/identity,1,30.590545454545452,30.768727272727276,37.71718262880388,37.95241163735065,11.951219485622092,11.973711231979664,0.1781818181818231,0.5824734915125452
/identity,6,37.731272727272724,35.20672727272728,46.25639607861618,43.57243555276661,14.655631810628433,13.664554165715877,-2.5245454545454464,-6.690856873006215
/identity,12,39.72327272727273,34.390181818181816,47.985297445249735,42.3005307080398,15.382999717021164,13.358299423436746,-5.333090909090913,-13.425608070377807
/inventory,1,41.82363636363637,39.016363636363636,51.66634103905208,48.83795453984906,12.751914629210745,11.930140341332345,-2.807272727272732,-6.712167978089825
/inventory,6,54.555818181818175,51.25963636363636,69.77086142249043,66.05319412825888,16.37673690489182,15.56022774408284,-3.2961818181818145,-6.0418520481108535
/inventory,12,58.42872727272727,59.08345454545455,71.40405605998991,70.97515056822225,17.675181255691378,17.726027319145526,0.6547272727272784,1.1205571356555712
/orders,1,59.4970909090909,55.39781818181818,75.8109997056076,70.95475267572094,13.138289378343906,12.364964899988223,-4.099272727272719,-6.889870856940282
/orders,6,83.74927272727273,73.57418181818181,103.89116748703029,92.63485629070733,17.96049183871898,16.12156733585341,-10.175090909090912,-12.149467783709387
/orders,12,89.116,73.94054545454544,114.60102269891122,93.8438869322102,18.64556274916994,16.384815444105975,-15.175454545454556,-17.02887758141586
/payments,1,78.31254545454546,76.35436363636364,107.28358146858854,104.45684334603541,17.138383515178575,16.56661284597563,-1.9581818181818136,-2.5004701441078696
/payments,6,112.83054545454543,109.36036363636362,141.63038033108316,136.223366130778,24.12833004736944,23.245686530513957,-3.470181818181814,-3.0755694782844074
/payments,12,140.66636363636366,130.72327272727273,182.05921545674988,167.19083091431236,29.23739318503687,27.031659896113762,-9.943090909090927,-7.068563267047119
/search,1,80.25436363636364,76.9778181818182,113.16920768959599,110.54450205480802,12.740998869384775,12.08266163241122,-3.2765454545454418,-4.082700685774079
/search,6,93.84399999999998,89.30436363636363,120.09550063481676,118.213808868815,15.205260783645317,14.277832342027583,-4.5396363636363475,-4.837428459609936
/search,12,95.66236363636364,81.73018181818182,124.76573681030456,107.36069111347801,15.893398762407482,13.792348713212352,-13.932181818181817,-14.563911332090324
