endpoint,horizon,MAE_RF_FullFeatures,MAE_RF_WithoutLag24,RMSE_RF_FullFeatures,RMSE_RF_WithoutLag24,sMAPE_RF_FullFeatures,sMAPE_RF_WithoutLag24,MAE_change_without_lag24,MAE_percent_change_without_lag24
/identity,1,27.26287192706285,27.223124603174593,34.39554518663018,34.78638769036886,10.309479682235546,10.276836582506403,-0.03974732388825686,-0.14579287169229282
/identity,6,27.702757441296068,27.34442380952381,35.38923591004809,35.439450850189225,10.623440539003177,10.537078983154558,-0.35833363177225763,-1.293494456396948
/identity,12,25.246325508330052,22.951030699855718,31.670919601308512,29.130990633084078,9.725596369493426,8.904047304391645,-2.2952948084743348,-9.091599518975544
/inventory,1,37.070413754427385,36.87580830381741,46.097279481664366,44.50801281446958,11.537333561037686,11.43092640740003,-0.19460545060997703,-0.5249616362502427
/inventory,6,44.78702702020204,37.95929436573531,61.09398642775633,48.02837083294727,13.432179172048883,11.831925565525117,-6.827732654466729,-15.244889220682031
/inventory,12,40.71691357077269,38.22209953430411,52.25715800889917,46.49317083179875,12.30291618652561,11.90643752453985,-2.4948140364685827,-6.127217948708676
/orders,1,51.60167734487733,52.224433152958134,65.11219696137573,64.56695615693265,11.52465624021944,11.624758458862365,0.6227558080808038,1.2068518701798108
/orders,6,71.34991616161618,61.94836500393544,91.86069733996263,80.08218677158942,15.29581975001309,13.875710436807665,-9.401551157680736,-13.176681436296416
/orders,12,74.60106829004329,70.37273481240982,96.01214103637153,90.08533811340604,16.30155420371651,15.775031299549793,-4.22833347763347,-5.667926176598478
/payments,1,71.41552678735407,70.75087902072673,106.6188158973368,102.74682449131924,15.391038782133016,15.372259851830147,-0.6646477666273398,-0.930676838114471
/payments,6,97.57243989898993,96.10890718221172,132.45172416619354,127.80741648973098,20.174503479653104,19.941586385733146,-1.4635327167782037,-1.4999447777397994
/payments,12,122.19876950019678,116.12656085202676,153.03882133686056,150.28046465801665,25.5112707449474,23.87868239495881,-6.072208648170019,-4.96912421704888
/search,1,66.68319505772011,65.18756307556089,94.58912376574753,91.6868099128505,10.712100071964946,10.498480080688406,-1.4956319821592245,-2.2428919023220537
/search,6,88.82956948051951,77.69036803751804,111.22909383475562,97.95285006272523,14.118071193922976,12.571145623661334,-11.139201443001468,-12.53997008895142
/search,12,85.88144235209228,61.84106172766624,111.71140991933554,77.99017275160283,13.830411042305379,10.338529460424397,-24.040380624426035,-27.99252081243178
