scenario,fault_family,primary_cause,description
normal,none,none,Normal operational variation
traffic_spike,demand,traffic_surge,Demand rises without an injected service fault
latency_increase,service,service_delay,Response latency rises independently of demand
database_slowdown,database,database_slowdown,Database latency propagates to response latency and errors
error_burst_5xx,application,application_error_burst,5xx errors rise independently of demand
